Gene	SRR1554535	SRR1554536	SRR1554537	SRR1554538	SRR1554539	SRR1554541
A1BG	180	44	292	144	169	282
A1CF	0	0	7	8	5	6
A2M	5866	5233	3372	5819	5928	5602
A2ML1	205	203	92	120	54	72
A3GALT2	5	0	11	27	2	6
A4GALT	101	119	30	65	32	47
A4GNT	4	2	0	6	4	17
AAAS	1052	549	3340	3472	682	2517
AACS	1977	188	2856	3052	2800	3388
AADAC	0	0	0	0	0	0
AADACL2	0	0	0	0	0	0
AADACL3	0	0	0	0	0	0
AADACL4	0	0	0	0	0	0
AADAT	562	209	1421	2688	583	2836
AAED1	109	50	29	74	93	66
AAGAB	931	129	525	1096	1565	1715
AAK1	2298	85	2766	3811	5777	4323
AAMDC	157	119	263	356	62	164
AAMP	4051	1090	4961	6129	3400	5693
AANAT	10	0	2	6	5	6
AAR2	434	142	1428	1605	399	1651
AARD	11	1	11	4	21	15
AARS	15653	2118	10325	12508	17766	13166
AARS2	831	219	1787	2372	865	1696
AARSD1	1	0	2	2	1	1
AASDH	551	234	1724	2324	597	1706
AASDHPPT	2006	216	4988	5775	3142	9539
AASS	458	234	1215	1922	337	443
AATF	1294	362	2061	3105	975	2284
AATK	11913	920	1954	1634	8560	2053
ABAT	2931	1392	3842	5516	5421	5944
ABCA1	153	204	1120	4510	271	2034
ABCA10	137	31	43	55	153	110
ABCA12	22	6	69	144	8	218
ABCA13	0	2	0	3	0	6
ABCA2	42020	2951	12261	12864	28166	13213
ABCA3	8241	1168	12685	14111	9852	17874
ABCA4	47	16	26	57	35	108
ABCA5	2036	248	1707	1739	3487	4068
ABCA6	72	28	8	32	100	67
ABCA7	1169	169	725	364	1023	396
ABCA8	1908	287	43	139	1370	364
ABCA9	404	367	146	430	653	820
ABCB1	1025	898	382	576	1258	817
ABCB10	418	85	968	1270	496	1408
ABCB11	5	1	10	36	8	5
ABCB4	8	14	135	92	36	37
ABCB5	0	0	1	4	0	1
ABCB6	2131	425	4169	3839	1714	3014
ABCB7	513	173	1851	2252	489	1616
ABCB8	1454	486	3129	2784	1354	2549
ABCB9	1138	209	1791	1967	1164	1593
ABCC1	374	18	2439	2327	705	1995
ABCC10	1379	257	4575	5056	1355	4470
ABCC11	57	13	47	22	22	38
ABCC12	336	54	22	24	616	36
ABCC2	22	0	21	87	8	35
ABCC3	73	7	5	1	72	4
ABCC4	89	47	518	750	115	513
ABCC5	2764	256	5155	6116	4555	5252
ABCC6	29	11	28	34	16	27
ABCC8	2887	445	1804	1564	3414	2101
ABCC9	381	321	449	921	366	813
ABCD1	193	72	609	633	125	449
ABCD2	231	139	515	591	545	748
ABCD3	1356	604	4322	5707	1446	5067
ABCD4	937	374	3062	4513	644	2393
ABCE1	582	74	2325	3061	907	3039
ABCF1	2358	454	4978	5599	2323	5309
ABCF2	2190	414	3300	3101	2546	3660
ABCF3	3276	601	3495	4235	3229	3596
ABCG1	531	94	527	886	689	746
ABCG2	1618	1670	611	963	1423	1463
ABCG4	876	38	344	548	994	995
ABCG5	36	8	25	43	67	82
ABCG8	42	4	7	20	49	49
ABHD1	57	56	37	37	29	27
ABHD10	1046	142	1810	2071	1320	2026
ABHD11	507	211	247	275	387	274
ABHD12	4655	735	1923	1652	3952	2396
ABHD12B	222	11	1	12	294	6
ABHD13	323	78	837	884	490	995
ABHD14A	671	245	539	402	539	576
ABHD14A-ACY1	2	3	0	2	1	1
ABHD14B	224	151	196	196	185	192
ABHD15	93	33	56	62	52	15
ABHD16A	2193	547	5191	5237	2126	3573
ABHD16B	251	63	179	168	220	71
ABHD17A	1936	684	1095	1062	1498	943
ABHD17B	659	80	1487	1694	700	1863
ABHD17C	441	113	703	943	374	1110
ABHD18	204	36	800	1015	267	892
ABHD2	360	202	2168	2802	1285	2782
ABHD3	419	206	700	802	198	254
ABHD4	331	312	309	793	196	350
ABHD5	247	130	533	864	194	685
ABHD6	1172	160	1445	1356	1138	1323
ABHD8	3675	910	1779	1601	3423	2088
ABI1	2517	640	2946	3994	2705	3777
ABI2	1401	446	8981	9807	5014	12246
ABI3	30	21	29	44	13	20
ABI3BP	83	23	730	959	98	915
ABL1	1773	652	7739	10967	1431	6176
ABL2	234	35	2218	3361	725	3525
ABLIM1	960	598	4438	3708	2225	8494
ABLIM2	2205	126	615	553	3076	1052
ABLIM3	951	276	1246	2061	1372	2619
ABO	29	40	5	10	26	17
ABR	11999	2914	16357	16822	19464	19359
ABRA	1	0	0	0	8	0
ABRACL	394	47	1463	1479	382	1265
ABT1	507	140	952	934	423	641
ABTB1	3854	845	851	1701	3675	1297
ABTB2	466	139	1200	1392	285	330
ACAA1	2749	783	2070	2609	1832	2087
ACAA2	1399	1098	1085	1476	615	872
ACACA	3066	575	11765	20330	6166	29176
ACACB	996	726	1074	1316	663	318
ACAD10	531	244	1655	1894	543	1219
ACAD11	1154	284	1615	1758	794	1142
ACAD8	1161	289	2270	2513	1478	2446
ACAD9	1426	360	1552	1559	1405	1973
ACADL	17	32	112	263	37	82
ACADM	2214	1095	2637	3196	2025	3209
ACADS	443	344	166	332	302	122
ACADSB	344	128	450	652	817	654
ACADVL	10423	5282	10003	10670	6523	8143
ACAN	97	40	15	42	80	58
ACAP1	101	85	170	210	90	271
ACAP2	281	100	1278	2002	490	1551
ACAP3	9403	1371	14451	17285	8328	13331
ACAT1	2645	1118	4166	4862	2202	7334
ACAT2	3582	463	5893	11776	2635	17249
ACBD3	653	186	2659	3426	1217	3332
ACBD4	561	275	311	363	361	185
ACBD5	1469	702	2587	3668	1874	3517
ACBD6	1111	167	2287	2367	778	2151
ACBD7	687	681	294	291	320	83
ACCS	157	89	183	265	120	273
ACCSL	0	0	7	0	0	1
ACD	1285	319	3313	3370	976	2824
ACE	444	80	436	656	363	792
ACE2	2	4	14	11	1	3
ACER1	0	0	1	1	2	0
ACER2	13	7	141	159	52	185
ACER3	133	17	351	465	325	377
ACHE	1725	196	682	609	1525	1809
ACIN1	3777	1063	20485	26543	4000	16834
ACKR1	247	75	291	442	164	352
ACKR2	2	2	4	2	6	4
ACKR3	316	441	499	749	186	531
ACKR4	0	0	6	15	7	10
ACLY	4532	603	17869	25161	6289	25740
ACMSD	8	4	252	196	18	90
ACO1	1207	578	1537	2254	850	2199
ACO2	16653	6113	8125	9477	13623	9219
ACOD1	0	0	0	0	0	0
ACOT1	364	208	118	227	88	84
ACOT11	173	172	34	41	111	28
ACOT12	5	2	16	11	2	22
ACOT13	937	341	289	420	651	381
ACOT2	449	242	879	683	482	792
ACOT4	253	44	24	27	203	74
ACOT6	34	21	7	17	22	4
ACOT7	6573	384	5431	6203	6877	8905
ACOT8	1564	401	1167	1359	1285	1262
ACOT9	609	298	1064	1499	621	1291
ACOX1	821	370	2898	3621	912	2802
ACOX2	175	208	21	83	88	39
ACOX3	544	159	1275	1480	490	1232
ACOXL	4	1	3	19	13	14
ACP1	1312	191	2289	2361	1397	2220
ACP2	1286	247	1182	1493	1469	1377
ACP5	8	10	0	16	6	6
ACP6	255	191	180	357	77	280
ACP7	39	6	0	0	12	0
ACPP	4	0	0	16	0	1
ACPT	4	0	28	50	12	49
ACR	19	4	5	5	8	4
ACRBP	36	7	251	266	19	141
ACRC	112	20	183	182	111	116
ACRV1	55	7	44	65	36	38
ACSBG1	2790	2949	409	547	932	82
ACSBG2	9	1	84	109	26	74
ACSF2	421	419	156	286	238	106
ACSF3	658	174	911	1010	525	844
ACSL1	1363	188	2078	2790	1270	3075
ACSL3	4185	810	4986	6813	7261	10432
ACSL4	953	78	3535	4758	3514	9276
ACSL5	195	165	163	339	225	232
ACSL6	2380	743	879	1786	3886	2078
ACSM1	4	7	18	21	4	3
ACSM2A	0	0	0	0	0	0
ACSM2B	0	0	0	0	0	0
ACSM3	165	51	192	227	89	172
ACSM4	9	2	18	16	16	15
ACSM5	60	125	2	4	21	4
ACSM6	0	0	3	12	0	1
ACSS1	2335	1910	876	911	888	349
ACSS2	1552	226	1288	1521	1095	1897
ACSS3	330	510	149	358	226	119
ACTA1	35	4	42	96	86	171
ACTA2	680	3464	236	718	1527	820
ACTB	60567	12333	151743	145197	56285	133339
ACTBL2	0	0	0	0	0	0
ACTC1	77	48	10	38	138	8
ACTG1	36852	7703	155532	165282	28357	140807
ACTG2	27	250	4	53	67	124
ACTL10	4	3	20	16	4	14
ACTL6A	367	236	2273	3096	204	1049
ACTL6B	2434	225	7699	9371	2392	9309
ACTL7A	0	0	2	2	0	0
ACTL7B	0	0	0	0	0	0
ACTL8	4	0	8	4	10	18
ACTL9	0	0	0	0	0	0
ACTN1	4873	874	2304	4723	7091	2377
ACTN2	3203	173	19044	8814	3946	20885
ACTN3	18	3	15	24	3	22
ACTN4	8656	2564	8161	11463	9465	7940
ACTR10	3804	737	4852	5330	3661	7547
ACTR1A	4689	655	10527	12172	5006	12843
ACTR1B	4710	694	2749	2606	4356	2458
ACTR2	4198	693	7236	10176	9129	11021
ACTR3	3365	564	11100	12794	3960	15044
ACTR3B	1662	134	3531	4234	2471	6596
ACTR3C	105	15	262	193	111	249
ACTR5	372	79	1006	1400	287	885
ACTR6	2354	358	2441	3143	1704	3461
ACTR8	732	174	2325	3224	845	2756
ACTRT1	0	0	0	0	2	2
ACTRT2	0	0	0	0	0	0
ACTRT3	63	28	37	43	101	74
ACVR1	453	252	3290	2485	581	2268
ACVR1B	1004	94	4042	5067	1716	5822
ACVR1C	32	5	689	138	238	195
ACVR2A	203	31	2433	3315	382	3189
ACVR2B	26	8	709	1451	79	715
ACVRL1	245	216	229	407	237	427
ACY1	0	0	0	0	0	0
ACY3	102	13	55	41	46	0
ACYP1	694	144	1303	1648	555	1602
ACYP2	1205	468	261	382	1007	541
ADA	229	84	67	148	110	131
ADAD1	0	0	0	0	0	0
ADAD2	63	15	8	30	141	12
ADAL	239	53	338	419	293	279
ADAM10	1435	291	4853	5571	2095	6012
ADAM11	3006	152	2018	2830	4174	3642
ADAM12	21	10	128	291	25	453
ADAM15	2034	765	2527	2736	1562	2021
ADAM17	623	196	2251	3721	1152	2999
ADAM18	0	0	0	6	0	8
ADAM19	231	32	724	1584	455	1911
ADAM2	0	0	0	0	0	0
ADAM20	4	0	16	24	14	39
ADAM21	26	0	25	17	36	18
ADAM22	491	94	1801	3099	3401	3979
ADAM23	3419	112	2981	3695	7093	5689
ADAM28	96	11	180	118	42	28
ADAM29	10	2	0	6	30	4
ADAM30	0	0	0	0	0	0
ADAM32	55	10	25	69	96	67
ADAM33	357	760	261	1259	445	509
ADAM7	0	0	2	1	1	9
ADAM8	90	39	269	269	96	182
ADAM9	1347	424	1391	2651	1996	2122
ADAMDEC1	2	0	0	2	0	0
ADAMTS1	473	1278	104	159	759	229
ADAMTS10	1443	634	11614	9491	1318	7252
ADAMTS12	5	0	34	164	1	264
ADAMTS13	933	251	1374	926	976	1150
ADAMTS14	180	24	59	454	48	304
ADAMTS15	17	29	193	176	37	287
ADAMTS16	68	6	151	120	105	146
ADAMTS17	70	18	48	124	90	104
ADAMTS18	3	2	17	37	4	51
ADAMTS19	119	9	123	107	115	84
ADAMTS2	193	7	79	120	145	323
ADAMTS20	8	2	6	15	4	16
ADAMTS3	150	0	673	408	462	1551
ADAMTS4	974	67	54	87	688	85
ADAMTS5	8	4	47	115	37	56
ADAMTS6	5	2	331	282	51	108
ADAMTS7	99	48	5314	8959	39	2957
ADAMTS8	981	109	164	128	1093	469
ADAMTS9	68	56	2940	1194	106	1882
ADAMTSL1	69	2	376	1463	95	2321
ADAMTSL2	1183	189	369	475	991	344
ADAMTSL3	94	39	2114	1782	108	3299
ADAMTSL4	75	26	109	169	59	130
ADAMTSL5	79	83	80	33	30	65
ADAP1	6168	791	1389	1145	5489	2858
ADAP2	50	70	59	106	41	126
ADAR	4359	825	12530	16880	9227	13790
ADARB1	779	85	1588	1449	1825	2072
ADARB2	563	77	109	196	376	190
ADAT1	249	57	1060	1501	431	964
ADAT2	41	17	311	324	60	357
ADAT3	69	9	117	91	23	68
ADCK1	775	56	542	550	542	571
ADCK2	1382	301	1913	2221	1671	2520
ADCK3	1167	219	1435	1425	1280	1327
ADCK4	784	324	1983	1978	581	1835
ADCK5	533	174	1129	1262	502	1132
ADCY1	1164	293	23171	14361	6186	33529
ADCY10	20	5	52	58	27	34
ADCY2	5205	2183	1885	5542	6931	5833
ADCY3	2935	682	4418	4830	3183	4287
ADCY4	270	100	239	330	281	295
ADCY5	3517	466	4191	3785	4151	5076
ADCY6	993	459	4848	6447	1746	4307
ADCY7	263	83	353	934	363	985
ADCY8	840	357	521	2153	796	1642
ADCY9	784	190	1248	1261	1325	1465
ADCYAP1	247	21	326	249	648	107
ADCYAP1R1	1010	518	5368	4462	939	5076
ADD1	12239	2957	20441	24116	13130	21902
ADD2	1021	101	21626	20903	4295	25075
ADD3	4410	4024	3050	4189	4046	3078
ADGB	2	0	0	1	4	0
ADGRA1	1385	96	408	435	1641	597
ADGRA2	656	480	602	1136	786	1428
ADGRA3	2250	1800	4425	6013	1002	3638
ADGRB1	8551	3203	8446	5996	8887	9261
ADGRB2	19657	2974	35031	23082	24983	23475
ADGRB3	3819	771	7215	9637	6066	8739
ADGRD1	68	92	79	227	64	255
ADGRD2	0	2	3	0	0	0
ADGRE1	0	0	0	0	3	0
ADGRE2	32	4	6	3	28	2
ADGRE3	2	0	0	0	0	0
ADGRE5	423	210	95	74	286	99
ADGRF1	0	0	4	2	0	0
ADGRF2	0	0	4	18	0	6
ADGRF3	40	16	58	84	33	104
ADGRF4	0	0	6	27	1	2
ADGRF5	973	397	643	1212	1796	997
ADGRG1	4157	2482	8372	9662	1647	3552
ADGRG2	16	0	1361	273	6	868
ADGRG3	2	0	9	34	0	3
ADGRG4	0	0	0	0	2	0
ADGRG5	1	0	11	23	5	9
ADGRG6	13	7	1611	3112	57	894
ADGRG7	0	0	0	0	0	0
ADGRL1	7475	823	18728	16514	10705	19702
ADGRL2	1665	176	5388	9676	4076	8707
ADGRL3	2357	695	10015	14854	4028	17668
ADGRL4	147	434	270	494	242	496
ADGRV1	2977	3636	13261	22394	1983	3872
ADH1A	2	0	41	46	0	18
ADH1B	29	25	6	10	16	8
ADH1C	0	0	0	2	1	1
ADH4	0	0	14	22	0	6
ADH5	1482	788	4209	4949	1316	3201
ADH6	0	0	43	64	2	21
ADH7	0	0	1	0	0	0
ADHFE1	925	699	317	440	417	100
ADI1	1335	804	2631	564	648	699
ADIG	0	2	0	0	0	0
ADIPOQ	0	0	0	0	0	0
ADIPOR1	2861	703	2271	2872	2418	2990
ADIPOR2	1161	169	1720	1878	1005	1770
ADIRF	278	1079	12	12	242	26
ADK	838	269	1287	1084	754	1017
ADM	53	147	198	183	31	63
ADM2	0	0	12	20	2	4
ADM5	27	18	22	23	37	20
ADNP	3079	618	19598	24394	3580	21475
ADNP2	726	106	2503	2737	982	2859
ADO	329	48	714	776	860	881
ADORA1	2935	481	1651	503	2510	792
ADORA2A	214	265	525	728	195	521
ADORA2B	213	348	58	209	76	96
ADORA3	34	2	39	31	4	1
ADPGK	580	109	1247	1498	625	1114
ADPRH	24	5	38	23	31	56
ADPRHL1	361	37	82	123	358	131
ADPRHL2	953	185	1833	2049	668	2004
ADPRM	187	74	802	1100	208	875
ADRA1A	91	42	59	40	121	63
ADRA1B	774	94	32	255	993	232
ADRA1D	148	6	13	11	329	32
ADRA2A	236	8	5610	5008	368	6280
ADRA2B	21	8	0	4	8	2
ADRA2C	161	172	328	176	269	212
ADRB1	374	35	139	32	417	40
ADRB2	45	32	39	69	19	8
ADRB3	0	0	0	0	6	0
ADRM1	3163	854	3816	4125	2463	3928
ADSL	959	259	1768	2673	887	2331
ADSS	2144	260	3315	3472	2584	4963
ADSSL1	316	107	24	73	218	93
ADTRP	92	0	115	57	143	51
AEBP1	1605	2209	2112	2794	1334	1504
AEBP2	525	146	1328	1585	656	1321
AEN	53	32	232	208	114	113
AES	15711	5782	20053	20705	15248	19692
AFAP1	231	64	6784	6557	783	7471
AFAP1L1	96	64	439	663	101	535
AFAP1L2	1204	609	527	818	1392	1145
AFF1	133	85	633	1167	434	477
AFF2	60	21	4546	7086	537	7247
AFF3	434	37	12121	11803	1399	14746
AFF4	354	159	7381	10323	2007	9206
AFG3L2	3184	539	3187	3338	3530	4270
AFM	0	0	0	0	0	0
AFMID	1016	82	553	612	521	652
AFP	4	0	0	1	6	0
AFTPH	1971	277	4056	5467	3113	6123
AGA	379	85	288	290	239	297
AGAP1	1109	294	7688	4268	2507	5094
AGAP11	60	61	39	62	60	53
AGAP2	19372	1855	15938	14424	25594	24231
AGAP3	14498	2000	15356	13474	11434	14453
AGAP4	172	72	646	753	223	535
AGAP5	101	25	322	259	78	176
AGAP6	579	107	1253	1084	519	842
AGAP9	618	126	978	659	423	557
AGBL1	3	0	8	21	16	5
AGBL2	9	4	33	39	3	31
AGBL3	66	28	114	150	90	185
AGBL4	409	13	60	96	705	151
AGBL5	1219	297	3690	3865	1198	3723
AGER	148	107	670	731	97	324
AGFG1	1324	264	2523	3130	1846	3608
AGFG2	668	211	192	231	527	183
AGGF1	1721	305	2709	3138	2512	3637
AGK	1355	114	1600	1802	1599	2076
AGL	579	266	2000	3679	1351	4133
AGMAT	94	5	9	32	143	32
AGMO	32	4	0	2	33	3
AGO1	270	128	3692	4063	731	2116
AGO2	109	39	1106	1890	332	1169
AGO3	153	60	1491	2003	229	1273
AGO4	295	103	5327	6422	629	7679
AGPAT1	2846	631	4246	4777	2948	4892
AGPAT2	293	99	102	23	227	47
AGPAT3	1395	782	2012	2259	2119	2507
AGPAT4	1011	79	1848	2508	906	2011
AGPAT5	527	236	2278	2541	817	2744
AGPS	449	197	1854	2528	821	2905
AGR2	0	0	6	28	0	29
AGR3	0	0	0	0	0	0
AGRN	6641	2463	18839	17760	7044	15228
AGRP	7	0	7	6	3	1
AGT	9571	4940	12	58	2131	199
AGTPBP1	3306	350	10554	11095	4898	18228
AGTR1	0	9	29	26	0	15
AGTR2	0	0	0	0	0	0
AGTRAP	126	142	110	110	61	52
AGXT	0	0	0	0	0	0
AGXT2	0	0	1	1	0	0
AHCTF1	773	226	2447	3448	1171	2730
AHCY	1383	340	3340	3760	1621	4044
AHCYL1	8132	4870	4263	5736	5676	4072
AHCYL2	1047	572	1600	1593	1296	1402
AHDC1	2365	491	10321	8324	2616	7645
AHI1	1141	190	1031	2327	3363	3137
AHNAK	5457	6741	2129	7054	5966	9460
AHNAK2	2397	125	3918	4427	4195	8680
AHR	222	16	360	219	375	511
AHRR	80	4	25	78	74	105
AHSA1	5553	982	5990	7688	4384	7384
AHSA2	1873	574	2994	4136	1264	3174
AHSG	0	4	4	11	12	6
AHSP	0	1	36	34	2	4
AICDA	0	0	0	0	0	0
AIDA	10	8	87	122	26	124
AIF1	155	10	103	167	64	86
AIF1L	1376	445	674	1291	798	443
AIFM1	1300	310	1367	1576	1062	1923
AIFM2	305	157	235	241	263	274
AIFM3	3620	3463	34	95	1822	107
AIG1	1333	447	1416	2258	1184	2689
AIM1	57	27	71	105	133	112
AIM1L	0	0	13	45	2	31
AIM2	0	0	196	328	5	565
AIMP1	973	336	1555	2143	857	1840
AIMP2	750	181	1637	2060	617	2359
AIP	2207	784	3252	3124	1662	3025
AIPL1	8	0	0	0	2	0
AIRE	56	6	5	8	56	2
AJAP1	308	19	253	585	562	691
AJUBA	32	55	245	375	30	94
AK1	2674	1047	2412	3465	1985	3957
AK2	587	292	1263	1439	482	1025
AK3	839	405	1019	1471	727	1032
AK4	18	19	8	66	29	20
AK5	14021	435	659	919	19373	1665
AK6	1179	326	1201	1487	1163	1783
AK7	132	5	15	14	131	23
AK8	118	40	48	39	107	103
AK9	536	76	762	1365	527	1514
AKAIN1	16	0	42	263	31	7
AKAP1	2220	762	3296	3107	2527	3027
AKAP10	804	149	1650	2044	1480	2404
AKAP11	2049	380	10872	13507	14215	16759
AKAP12	3631	1385	13118	16626	8887	12181
AKAP13	518	200	6208	6859	1384	6439
AKAP14	6	6	14	4	1	15
AKAP17A	0	0	0	0	0	0
AKAP2	0	2	22	18	4	22
AKAP3	86	22	10	21	43	30
AKAP4	0	0	0	0	0	0
AKAP5	370	14	458	675	1806	799
AKAP6	5283	1058	8401	14148	14096	18400
AKAP7	335	194	5771	3531	387	5275
AKAP8	740	170	2745	2762	969	2049
AKAP8L	3474	885	8130	10511	2567	7616
AKAP9	2683	711	15907	31289	5226	31674
AKIP1	606	165	718	812	565	926
AKIRIN1	627	117	1044	1330	891	1271
AKIRIN2	1175	131	2617	2774	1273	2033
AKNA	476	275	737	1584	532	656
AKNAD1	14	2	126	409	13	156
AKR1A1	1526	501	4192	4047	1096	3873
AKR1B1	3124	688	3028	4880	2543	4580
AKR1B10	0	0	0	0	0	0
AKR1B15	4	1	0	5	0	0
AKR1C1	273	95	1049	2405	282	3037
AKR1C2	171	31	669	1876	143	2427
AKR1C3	157	331	43	77	84	34
AKR1C4	0	0	1	0	0	2
AKR1D1	0	0	0	0	0	0
AKR1E2	58	14	176	185	35	203
AKR7A2	939	479	932	857	544	624
AKR7A3	49	52	63	66	21	62
AKT1	3071	1043	9766	11778	2976	9606
AKT1S1	1007	240	784	733	820	604
AKT2	2147	807	5219	5711	1871	3678
AKT3	923	179	15596	9991	3375	13819
AKTIP	1334	312	1176	1365	1177	1313
ALAD	1500	576	1915	1832	1395	1606
ALAS1	2561	332	3284	4145	2452	4828
ALAS2	26	60	313	308	76	76
ALB	49	7	3	13	21	15
ALCAM	1624	313	1203	3608	3066	6106
ALDH16A1	379	147	690	582	175	399
ALDH18A1	1076	375	4117	4505	971	3550
ALDH1A1	3134	3545	4	29	2102	137
ALDH1A2	66	13	75	117	118	216
ALDH1A3	359	164	23	54	705	135
ALDH1B1	326	61	1253	1563	425	1529
ALDH1L1	3199	2135	31	154	1034	24
ALDH1L2	80	20	897	1210	296	1023
ALDH2	12186	11363	4214	4683	6099	4547
ALDH3A1	15	10	10	6	13	8
ALDH3A2	1190	306	2849	3243	1322	2628
ALDH3B1	109	56	35	44	52	21
ALDH3B2	0	0	0	0	0	0
ALDH4A1	2035	1673	415	601	567	347
ALDH5A1	680	395	516	821	1189	1120
ALDH6A1	3272	3313	1154	1617	2110	1043
ALDH7A1	1882	1510	1433	2276	1102	1331
ALDH8A1	89	17	225	200	137	140
ALDH9A1	2122	1497	2207	3392	1299	2570
ALDOA	63143	9858	12202	14800	51878	12484
ALDOB	40	2	16	11	33	34
ALDOC	37994	21569	612	1155	16934	985
ALG1	525	134	590	507	429	611
ALG10	24	7	350	487	58	469
ALG10B	11	7	269	368	34	355
ALG11	160	75	1264	1434	398	1519
ALG12	482	168	1137	1402	404	999
ALG13	1091	174	1738	1899	1344	2102
ALG14	340	75	193	256	258	225
ALG1L	103	20	13	75	36	60
ALG1L2	8	1	3	4	7	2
ALG2	494	104	860	1056	519	1012
ALG3	513	166	578	607	312	547
ALG5	488	252	711	853	455	775
ALG6	308	96	726	979	266	893
ALG8	827	242	1230	1274	471	1102
ALG9	579	184	2110	2966	695	2550
ALK	255	66	94	143	302	129
ALKBH1	158	19	598	606	190	506
ALKBH2	323	97	922	1013	219	965
ALKBH3	500	82	458	505	447	342
ALKBH4	502	56	593	624	441	604
ALKBH5	1746	247	2030	2039	1792	1588
ALKBH6	1183	192	375	459	988	407
ALKBH7	853	531	1829	2281	692	1760
ALKBH8	172	48	1166	1316	397	1707
ALLC	18	14	9	14	4	7
ALMS1	494	219	6824	9896	844	7816
ALOX12	149	64	217	284	107	147
ALOX12B	92	15	80	54	76	59
ALOX15	16	2	3	16	31	6
ALOX15B	34	1	2	0	25	2
ALOX5	87	28	32	53	31	35
ALOX5AP	47	17	31	46	18	25
ALOXE3	55	4	113	225	56	333
ALPI	0	0	0	0	0	0
ALPK1	109	28	1341	1411	107	591
ALPK2	13	0	0	19	9	9
ALPK3	108	50	194	481	345	327
ALPL	1021	486	238	349	956	272
ALPP	0	0	2	1	2	0
ALPPL2	0	0	0	0	3	0
ALS2	1521	208	7580	6175	2961	7545
ALS2CL	591	104	242	217	631	248
ALS2CR11	30	15	23	31	41	57
ALS2CR12	47	31	87	123	54	148
ALX1	1	0	0	6	0	23
ALX3	85	40	168	228	90	137
ALX4	2	10	3	78	10	86
ALYREF	841	215	1909	2277	680	1462
AMACR	397	89	450	349	532	633
AMBN	7	0	3	9	6	2
AMBP	2	2	8	7	2	6
AMBRA1	1411	207	3989	4249	1726	4240
AMD1	1757	326	1796	2755	2678	3516
AMDHD1	33	4	1	4	31	5
AMDHD2	534	136	748	725	537	490
AMELX	0	0	0	0	0	2
AMELY	0	0	0	0	0	0
AMER1	59	10	1771	1896	173	2135
AMER2	1602	407	3518	4900	1275	3871
AMER3	348	8	1600	2132	819	2682
AMFR	3518	526	3407	4091	3474	4298
AMH	12	12	192	199	15	38
AMHR2	0	0	0	0	0	0
AMIGO1	1043	121	1088	1061	1843	1175
AMIGO2	283	53	247	347	245	1040
AMIGO3	183	34	403	389	151	249
AMMECR1	29	9	132	191	50	71
AMMECR1L	71	19	654	859	150	641
AMN	9	0	27	16	4	10
AMN1	1691	246	1466	1502	1220	2407
AMOT	659	636	1067	1949	827	1874
AMOTL1	115	106	3136	4710	644	2525
AMOTL2	1478	305	5474	4828	1224	3491
AMPD1	0	0	0	0	0	0
AMPD2	5154	752	4321	4919	5642	6941
AMPD3	373	154	50	150	629	81
AMPH	4365	151	2661	6212	7364	8636
AMT	548	306	992	910	390	723
AMTN	0	0	0	0	0	0
AMY1A	0	0	0	0	0	0
AMY1B	0	0	3	0	3	0
AMY1C	0	0	0	0	0	0
AMY2A	8	0	3	2	19	8
AMY2B	977	249	937	986	763	656
AMZ1	119	72	96	117	160	89
AMZ2	4804	1557	2797	3749	4005	4537
ANAPC1	489	59	1899	2160	1101	2382
ANAPC10	275	97	365	406	186	391
ANAPC11	1258	834	2176	2270	1026	2050
ANAPC13	895	227	1097	1074	969	1554
ANAPC15	1181	454	1111	1208	779	1161
ANAPC16	654	362	1000	1099	611	838
ANAPC2	2234	550	3301	3453	2104	3047
ANAPC4	1636	505	2933	3345	1607	3355
ANAPC5	5316	1010	8426	9148	5338	10387
ANAPC7	2103	377	4476	4237	2520	4220
ANG	16	18	52	53	18	21
ANGEL1	861	182	1820	1956	1039	1512
ANGEL2	571	135	2066	2548	953	2252
ANGPT1	56	39	22	122	65	62
ANGPT2	57	81	161	421	74	440
ANGPT4	2	4	1	1	2	3
ANGPTL1	135	101	67	754	67	37
ANGPTL2	391	139	294	539	295	223
ANGPTL3	2	2	18	26	1	19
ANGPTL4	381	440	109	138	133	102
ANGPTL5	3	0	0	8	20	10
ANGPTL6	478	123	79	79	395	122
ANGPTL7	4	0	1	8	13	15
ANGPTL8	7	2	1	3	6	4
ANHX	0	0	0	2	0	0
ANK1	677	49	463	1179	1415	1455
ANK2	13547	1816	62427	86370	38625	114109
ANK3	6324	531	24570	39091	17630	54185
ANKAR	92	41	481	783	121	638
ANKDD1A	273	181	1003	792	307	680
ANKDD1B	26	2	24	21	32	21
ANKEF1	83	11	195	446	113	328
ANKFN1	21	48	200	300	37	55
ANKFY1	943	293	4093	6763	1457	5359
ANKH	3504	742	4380	3233	4115	5576
ANKHD1	64	34	118	155	55	124
ANKHD1-EIF4EBP3	9	2	38	24	9	24
ANKIB1	1348	561	6795	9376	2060	9247
ANKK1	23	2	2	4	19	0
ANKLE1	34	24	354	395	46	234
ANKLE2	1554	304	4355	5363	1923	4474
ANKMY1	327	70	1000	611	327	611
ANKMY2	1384	223	2935	3672	1931	4820
ANKRA2	592	143	1309	1507	617	1639
ANKRD1	1	0	2	5	0	9
ANKRD10	1465	474	5888	7219	1573	4880
ANKRD11	5677	939	13653	17099	7703	14918
ANKRD12	1930	290	12711	16817	3752	21719
