Gene	SRR1554535	SRR1554536	SRR1554537	SRR1554538	SRR1554539	SRR1554541
SPTBN2	11379	1099	22249	23580	22211	27945
SPTBN4	6202	681	5746	4828	8459	7310
SPTBN5	274	139	138	196	279	185
SPTLC1	1971	485	2237	2945	1892	2601
SPTLC2	429	67	1084	1440	802	1479
SPTLC3	6	13	10	53	12	46
SPTSSA	281	130	613	780	262	831
SPTSSB	329	11	93	68	403	118
SPTY2D1	172	37	785	1091	415	830
SPX	171	194	0	4	103	3
SPZ1	0	0	0	0	0	0
SQLE	2620	214	9160	13143	1973	20306
SQRDL	165	175	50	63	116	82
SQSTM1	8513	2326	4069	4589	7554	5289
SRA1	872	315	1350	1446	573	1016
SRBD1	272	119	813	1129	281	966
SRC	650	138	3207	5136	790	4366
SRCAP	5051	1054	18379	22290	6038	16473
SRCIN1	4567	305	5687	6283	5042	6759
SRD5A1	291	36	1813	1869	401	2694
SRD5A2	0	0	0	6	0	3
SRD5A3	510	69	467	387	479	581
SREBF1	4245	1378	2585	2621	1979	2503
SREBF2	11687	1857	33946	32191	13675	42326
SREK1	755	374	4171	5938	1291	4384
SREK1IP1	74	143	339	617	79	507
SRF	823	219	1815	2223	1086	1867
SRFBP1	201	52	809	972	235	878
SRGAP1	86	33	9251	13477	107	13070
SRGAP2	1140	69	9487	10062	1605	13335
SRGAP2B	45	6	520	553	149	608
SRGAP2C	43	15	533	443	93	538
SRGAP3	932	136	5973	7689	2780	6160
SRGN	319	996	160	260	446	254
SRI	4418	3027	2021	4748	2931	3924
SRL	12	28	2	2	40	11
SRM	2088	720	3933	10502	1540	12400
SRMS	14	6	51	61	9	40
SRP14	5345	2531	6625	9461	4523	6699
SRP19	733	174	1069	1187	649	1242
SRP54	1919	449	2467	3612	1834	3543
SRP68	3409	631	3723	4721	3696	3968
SRP72	2043	431	6886	9234	3440	9858
SRP9	189	83	471	539	132	409
SRPK1	928	93	4701	6450	1689	6779
SRPK2	5016	421	8142	10666	7346	12937
SRPK3	163	60	106	147	172	43
SRPRA	3161	413	2221	2689	3629	2338
SRPRB	903	184	1103	1420	981	1663
SRPX	202	80	43	91	61	200
SRPX2	9	29	9	50	28	75
SRR	763	281	2510	3003	731	3787
SRRD	633	103	931	1096	627	1354
SRRM1	2583	423	6893	7775	2674	5905
SRRM2	18561	4588	62349	81325	21989	53170
SRRM3	1028	43	1309	1357	1194	1163
SRRM4	212	6	3758	4476	1049	3420
SRRM5	71	6	181	288	64	124
SRRT	3324	969	12638	14341	2270	9041
SRSF1	1812	659	10347	12158	2003	8389
SRSF10	813	267	5079	6357	1106	4507
SRSF11	3441	770	13031	16959	3999	13136
SRSF12	296	70	838	1265	342	1381
